what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1481943771186
opened,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1481943771530
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1481943771655
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1481943772655
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1481943773639
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1481943783552
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1481943785161
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1481943785286
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1481943794133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943807477
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943809618
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1481943809649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943810883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943819899
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1481943819946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943850261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943865011
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1481943868788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943877679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943938493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943941430
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943991039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943994351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481943997133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944021758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481944028571
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1481944038789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944040157
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1481944040376
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1481944041926
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1481944042941
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1481944043254
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1481944057457
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1481944057520
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1481944057551
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1481944057567
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1481944081958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944084739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944085692
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1481944100606
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1481944106958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944136102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944146321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944147586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944150040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481944152144
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1481944152613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944158222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944172374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944175345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944178814
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481944183171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1481944186531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944194328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944195859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944196297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944209234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481944211734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944238699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944258758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481944262836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944268523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481944272273
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.0.v201105180000,"org.eclipse.jpt.jaxb.ui",1481944315149
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1481944315196
