what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1479734171399
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1479734171399
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1479734171759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734213279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734259496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734267247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734268222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734270263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734280151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734281418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734282289
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1479734300671
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1479734300689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734306189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734318473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734322594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734329036
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1479734330500
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1479734330500
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1479734336129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734336450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1479734409792
started,bundle,org.eclipse.emf.codegen,2.6.0.v20110606-0949,"org.eclipse.emf.codegen",1479734456584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479734456994
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1479734458777
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1479734459067
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1479734459641
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1479734460030
