what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1480082064408
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1480082065478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082068539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082077384
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1480082096383
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1480082098164
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1480082144220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480082160529
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1480082162108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1480082166348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1480082167883
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1480082173549
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1480082177215
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1480082190588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082195064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082210182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480082216314
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1480082222802
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1480082232740
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480082237671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480082242555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082250570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082252882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480082255383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082265457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082272809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082274830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082281173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480082286475
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1480082291534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082293239
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480082294874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480082298365
