what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480208531525
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1480208537664
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1480208538841
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1480208553949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480208561510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480208569441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480208572061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480208620994
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1480208621056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480208631495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480208642799
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1480208642822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480208651654
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1480208698960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480208726497
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1480208728422
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1480208728992
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1480208731359
